https://www.nrel.gov/grid/solar-resource/spectra-wehrli.html
 	  nm	  W/sm/nm   W/sm
     363.5     0.958  6.829E+1
     364.5     1.015  6.930E+1
     365.5     1.263  7.056E+1
     366.5     1.249  7.181E+1
     367.5     1.214  7.303E+1
     368.5     1.088  7.412E+1
     369.5     1.331  7.545E+1
     370.5     1.075  7.652E+1
     371.5     1.307  7.783E+1
     372.5     1.065  7.889E+1
     373.5     0.838  7.973E+1
     374.5     0.878  8.061E+1
     375.5     1.141  8.175E+1
     376.5     1.101  8.285E+1
     377.5     1.291  8.414E+1
     378.5     1.341  8.549E+1
     379.5     1.000  8.649E+1
     380.5     1.289  8.777E+1
     381.5     1.096  8.887E+1
     382.5     0.733  8.960E+1
     383.5     0.684  9.029E+1
     384.5     1.027  9.131E+1
     385.5     0.954  9.227E+1
     386.5     1.071  9.334E+1
     387.5     0.966  9.430E+1
     388.5     0.912  9.522E+1
     389.5     1.227  9.644E+1
     390.5     1.223  9.767E+1
     391.5     1.398  9.906E+1
     392.5     0.955  1.000E+2
     393.5     0.489  1.005E+2
     394.5     1.101  1.016E+2
     395.5     1.378  1.030E+2
     396.5     0.650  1.036E+2
     397.5     1.040  1.047E+2
     398.5     1.538  1.062E+2
     399.5     1.655  1.079E+2
     400.5     1.649  1.095E+2
     401.5     1.796  1.113E+2
     402.5     1.803  1.131E+2
     403.5     1.658  1.148E+2
     404.5     1.602  1.164E+2
     405.5     1.672  1.180E+2
     406.5     1.624  1.197E+2
     407.5     1.545  1.212E+2
     408.5     1.824  1.230E+2
     409.5     1.706  1.247E+2
     410.5     1.502  1.263E+2
     411.5     1.819  1.281E+2
     412.5     1.791  1.299E+2
     413.5     1.758  1.316E+2
     414.5     1.739  1.334E+2
     415.5     1.736  1.351E+2
     416.5     1.844  1.369E+2
     417.5     1.667  1.386E+2
     418.5     1.686  1.403E+2
     419.5     1.703  1.420E+2
     420.5     1.760  1.438E+2
     421.5     1.799  1.456E+2
     422.5     1.584  1.471E+2
     423.5     1.713  1.488E+2
     424.5     1.770  1.506E+2
     425.5     1.697  1.523E+2
     426.5     1.700  1.540E+2
     427.5     1.571  1.556E+2
     428.5     1.589  1.572E+2
     429.5     1.477  1.587E+2
     430.5     1.136  1.598E+2
     431.5     1.688  1.615E+2
     432.5     1.648  1.631E+2
     433.5     1.733  1.649E+2
     434.5     1.672  1.665E+2
     435.5     1.725  1.683E+2
     436.5     1.931  1.702E+2
     437.5     1.808  1.720E+2
     438.5     1.569  1.736E+2
     439.5     1.827  1.754E+2
     440.5     1.715  1.771E+2
     441.5     1.933  1.790E+2
     442.5     1.982  1.810E+2
     443.5     1.911  1.829E+2
     444.5     1.975  1.849E+2
     445.5     1.823  1.867E+2
     446.5     1.893  1.886E+2
     447.5     2.079  1.907E+2
     448.5     1.975  1.927E+2
     449.5     2.029  1.947E+2
     450.5     2.146  1.968E+2
     451.5     2.111  1.990E+2
     452.5     1.943  2.009E+2
     453.5     1.972  2.029E+2
     454.5     1.981  2.049E+2
     455.5     2.036  2.069E+2
     456.5     2.079  2.090E+2
     457.5     2.102  2.111E+2
     458.5     1.973  2.130E+2
     459.5     2.011  2.151E+2
     460.5     2.042  2.171E+2
     461.5     2.057  2.192E+2
     462.5     2.106  2.213E+2
     463.5     2.042  2.233E+2
     464.5     1.978  2.253E+2
     465.5     2.044  2.273E+2
     466.5     1.923  2.293E+2
     467.5     2.017  2.313E+2
     468.5     1.996  2.333E+2
     469.5     1.992  2.353E+2
     470.5     1.879  2.371E+2
     471.5     2.020  2.392E+2
     472.5     2.043  2.412E+2
     473.5     1.993  2.432E+2
     474.5     2.053  2.452E+2
     475.5     2.018  2.473E+2
     476.5     1.958  2.492E+2
     477.5     2.077  2.513E+2
     478.5     2.011  2.533E+2
     479.5     2.078  2.554E+2
     480.5     2.037  2.574E+2
     481.5     2.092  2.595E+2
     482.5     2.025  2.615E+2
     483.5     2.021  2.636E+2
     484.5     1.971  2.655E+2
     485.5     1.832  2.674E+2
     486.5     1.627  2.690E+2
     487.5     1.832  2.708E+2
     488.5     1.916  2.727E+2
     489.5     1.962  2.747E+2
     490.5     2.009  2.767E+2
     491.5     1.898  2.786E+2
     492.5     1.898  2.805E+2
     493.5     1.890  2.824E+2
     494.5     2.060  2.845E+2
     495.5     1.928  2.864E+2
     496.5     2.019  2.884E+2
     497.5     2.020  2.904E+2
     498.5     1.868  2.923E+2
     499.5     1.972  2.943E+2
     500.5     1.859  2.961E+2
     501.5     1.814  2.979E+2
     502.5     1.896  2.998E+2
     503.5     1.936  3.018E+2
     504.5     1.871  3.036E+2
     505.5     1.995  3.056E+2
     506.5     1.963  3.076E+2
     507.5     1.908  3.095E+2
     508.5     1.921  3.114E+2
     509.5     1.918  3.134E+2
     510.5     1.949  3.153E+2
     511.5     1.999  3.173E+2
     512.5     1.869  3.192E+2
     513.5     1.863  3.210E+2
     514.5     1.876  3.229E+2
     515.5     1.902  3.248E+2
     516.5     1.671  3.265E+2
     517.5     1.728  3.282E+2
     518.5     1.656  3.299E+2
     519.5     1.830  3.317E+2
     520.5     1.833  3.335E+2
     521.5     1.908  3.354E+2
     522.5     1.825  3.373E+2
     523.5     1.896  3.392E+2
     524.5     1.960  3.411E+2
     525.5     1.932  3.431E+2
     526.5     1.676  3.447E+2
     527.5     1.830  3.466E+2
     528.5     1.899  3.485E+2
     529.5     1.920  3.504E+2
     530.5     1.954  3.523E+2
     531.5     1.965  3.543E+2
     532.5     1.773  3.561E+2
     533.5     1.925  3.580E+2
     534.5     1.860  3.599E+2
     535.5     1.992  3.619E+2
     536.5     1.873  3.637E+2
     537.5     1.884  3.656E+2
     538.5     1.906  3.675E+2
     539.5     1.834  3.694E+2
     540.5     1.772  3.711E+2
     541.5     1.883  3.730E+2
     542.5     1.827  3.748E+2
     543.5     1.881  3.767E+2
     544.5     1.881  3.786E+2
     545.5     1.903  3.805E+2
     546.5     1.881  3.824E+2 
     547.5     1.835  3.842E+2
     548.5     1.865  3.861E+2
     549.5     1.897  3.880E+2
     550.5     1.864  3.898E+2
     551.5     1.873  3.917E+2
     552.5     1.848  3.936E+2
     553.5     1.884  3.954E+2
     554.5     1.900  3.973E+2
     555.5     1.899  3.992E+2
     556.5     1.823  4.011E+2
     557.5     1.848  4.029E+2
     558.5     1.789  4.047E+2
     559.5     1.810  4.065E+2
     560.5     1.845  4.084E+2
     561.5     1.826  4.102E+2
     562.5     1.852  4.120E+2
     563.5     1.863  4.139E+2
     564.5     1.856  4.158E+2
     565.5     1.800  4.176E+2
     566.5     1.831  4.194E+2
     567.5     1.889  4.213E+2
     568.5     1.812  4.231E+2
     569.5     1.862  4.250E+2
     570.5     1.772  4.267E+2
     571.5     1.825  4.286E+2
     572.5     1.894  4.305E+2
     573.5     1.878  4.323E+2
     574.5     1.869  4.342E+2
     575.5     1.832  4.360E+2
     576.5     1.848  4.379E+2
     577.5     1.859  4.397E+2
     578.5     1.786  4.415E+2
