https://www.nrel.gov/grid/solar-resource/spectra-wehrli.html
 	  nm	  W/sm/nm   W/sm
    2012.5     0.114  1.288E+3
    2022.5     0.113  1.289E+3
    2032.5     0.110  1.291E+3
    2042.5     0.107  1.292E+3
    2052.5     0.104  1.293E+3
    2062.5     0.100  1.294E+3
    2077.5     0.101  1.295E+3
    2092.5     0.098  1.297E+3
    2107.5     0.093  1.298E+3
    2122.5     0.087  1.299E+3
    2137.5     0.085  1.301E+3
    2152.5     0.081  1.302E+3
    2167.5     0.080  1.303E+3
    2182.5     0.075  1.304E+3
    2197.5     0.073  1.305E+3
    2212.5     0.075  1.307E+3
    2227.5     0.075  1.308E+3
    2247.5     0.072  1.309E+3
    2262.5     0.071  1.310E+3
    2282.5     0.069  1.311E+3
    2302.5     0.066  1.313E+3
    2322.5     0.053  1.314E+3
    2342.5     0.058  1.315E+3
    2362.5     0.065  1.316E+3
    2382.5     0.055  1.317E+3
    2402.5     0.054  1.319E+3
    2422.5     0.057  1.320E+3
    2442.5     0.051  1.321E+3
    2467.5     0.053  1.322E+3
    2492.5     0.054  1.323E+3 
    2517.5     0.047  1.325E+3
    2542.5     0.046  1.326E+3
    2567.5     0.044  1.327E+3
    2592.5     0.042  1.328E+3
    2617.5     0.041  1.329E+3
    2642.5     0.039  1.330E+3
    2672.5     0.038  1.331E+3
    2702.5     0.036  1.332E+3
    2732.5     0.035  1.333E+3
    2762.5     0.034  1.334E+3
    2797.5     0.032  1.335E+3
    2832.5     0.031  1.336E+3
    2867.5     0.029  1.338E+3
    2907.5     0.028  1.339E+3
    2947.5     0.026  1.340E+3
    2987.5     0.025  1.341E+3
    3025.0     0.024  1.342E+3
    3075.0     0.023  1.343E+3
    3125.0     0.021  1.344E+3
    3175.0     0.020  1.345E+3
    3235.0     0.019  1.346E+3
    3295.0     0.018  1.347E+3
    3355.0     0.016  1.348E+3
    3425.0     0.015  1.349E+3 
    3495.0     0.014  1.350E+3
    3575.0     0.013  1.352E+3
    3665.0     0.012  1.353E+3
    3755.0     0.011  1.354E+3
    3855.0     0.010  1.355E+3
    3965.0     0.009  1.356E+3
    4085.0     0.008  1.357E+3
    4225.0     0.007  1.358E+3
    4385.0     0.006  1.359E+3
    4575.0     0.005  1.360E+3
    4805.0     0.004  1.361E+3
    5085.0     0.003  1.362E+3
    5445.0     0.002  1.363E+3
    5925.0     0.002  1.364E+3
    6615.0     0.001  1.365E+3
    7785.0     0.001  1.366E+3
   10075.0     0.000  1.367E+3
