T   2    1    1    0    2    2    2    2    2    2    1    0    0   0.0000.00   
    3    1    1    3    0    0  66.33180   2.00000   4.10000   0.00000   0.00000
 -99.000 -99.000 -99.000 -99
 -99.00000 -99.00000 -99.00000
   36MIDLATITUDE SUMMER  
  10.00000   0.02700 100.00000   4.00000   0.000006371.22998    0
  -99  -99  -99  -99
 -99.00000 -99.00000 -99.00000 -99.00000 -99.00000 -99.00000 -99.00000 -99.00000
      1667      3333         1         1
    3   0    0.000  0    0.000  0    1.000
    FREQ  TOT TRANS  PTH THRML  THRML SCT  SURF EMIS   SOL SCAT  SING SCAT  GRND RFLT  DRCT RFLT  TOTAL RAD  REF SOL  SOL@OBS   DEPTH
 1667.00 5.3117E-01 9.6804E-08 0.0000E+00 0.0000E+00                       0.0000E+00            9.6804E-08                     0.633
 1668.00 1.1516E-01 1.8191E-07 0.0000E+00 0.0000E+00                       0.0000E+00            1.8191E-07                     2.161
 1669.00 2.0248E-03 2.0429E-07 0.0000E+00 0.0000E+00                       0.0000E+00            2.0429E-07                     6.202
 1670.00 7.0522E-02 1.8945E-07 0.0000E+00 0.0000E+00                       0.0000E+00            1.8945E-07                     2.652
 1671.00 6.4519E-02 1.8985E-07 0.0000E+00 0.0000E+00                       0.0000E+00            1.8985E-07                     2.741
 1672.00 5.2493E-02 1.9146E-07 0.0000E+00 0.0000E+00                       0.0000E+00            1.9146E-07                     2.947
 1673.00 4.2688E-01 1.1531E-07 0.0000E+00 0.0000E+00                       0.0000E+00            1.1531E-07                     0.851
 1674.00 2.9137E-01 1.4196E-07 0.0000E+00 0.0000E+00                       0.0000E+00            1.4196E-07                     1.233
 1675.00 2.2111E-03 1.9902E-07 0.0000E+00 0.0000E+00                       0.0000E+00            1.9902E-07                     6.114
 1676.00 2.2624E-02 1.9411E-07 0.0000E+00 0.0000E+00                       0.0000E+00            1.9411E-07                     3.789
 1677.00 4.2516E-01 1.1367E-07 0.0000E+00 0.0000E+00                       0.0000E+00            1.1367E-07                     0.855
 1678.00 4.5690E-01 1.0693E-07 0.0000E+00 0.0000E+00                       0.0000E+00            1.0693E-07                     0.783
 1679.00 4.3055E-01 1.1164E-07 0.0000E+00 0.0000E+00                       0.0000E+00            1.1164E-07                     0.843
 1680.00 1.0131E-01 1.7542E-07 0.0000E+00 0.0000E+00                       0.0000E+00            1.7542E-07                     2.290
 1681.00 3.1423E-01 1.3328E-07 0.0000E+00 0.0000E+00                       0.0000E+00            1.3328E-07                     1.158
 1682.00 2.3999E-01 1.4707E-07 0.0000E+00 0.0000E+00                       0.0000E+00            1.4707E-07                     1.427
 1683.00 7.4496E-03 1.9124E-07 0.0000E+00 0.0000E+00                       0.0000E+00            1.9124E-07                     4.900
 1684.00 2.6068E-04 1.9179E-07 0.0000E+00 0.0000E+00                       0.0000E+00            1.9179E-07                     8.252
 1685.00 1.0972E-06 1.9101E-07 0.0000E+00 0.0000E+00                       0.0000E+00            1.9101E-07                    13.723
 1686.00 8.5215E-02 1.7398E-07 0.0000E+00 0.0000E+00                       0.0000E+00            1.7398E-07                     2.463
 1687.00 3.2767E-01 1.2732E-07 0.0000E+00 0.0000E+00                       0.0000E+00            1.2732E-07                     1.116
 1688.00 1.6993E-01 1.5651E-07 0.0000E+00 0.0000E+00                       0.0000E+00            1.5651E-07                     1.772
 1689.00 3.4281E-01 1.2337E-07 0.0000E+00 0.0000E+00                       0.0000E+00            1.2337E-07                     1.071
 1690.00 1.4390E-01 1.6002E-07 0.0000E+00 0.0000E+00                       0.0000E+00            1.6002E-07                     1.939
 1691.00 5.0536E-01 9.2056E-08 0.0000E+00 0.0000E+00                       0.0000E+00            9.2056E-08                     0.682
 1692.00 4.5352E-01 1.0126E-07 0.0000E+00 0.0000E+00                       0.0000E+00            1.0126E-07                     0.791
 1693.00 5.1288E-01 8.9873E-08 0.0000E+00 0.0000E+00                       0.0000E+00            8.9873E-08                     0.668
 1694.00 2.8138E-01 1.3201E-07 0.0000E+00 0.0000E+00                       0.0000E+00            1.3201E-07                     1.268
 1695.00 1.1388E-02 1.8082E-07 0.0000E+00 0.0000E+00                       0.0000E+00            1.8082E-07                     4.475
 1696.00 1.1737E-05 1.8211E-07 0.0000E+00 0.0000E+00                       0.0000E+00            1.8211E-07                    11.353
 1697.00 5.0766E-02 1.7211E-07 0.0000E+00 0.0000E+00                       0.0000E+00            1.7211E-07                     2.981
 1698.00 7.8114E-02 1.6643E-07 0.0000E+00 0.0000E+00                       0.0000E+00            1.6643E-07                     2.550
 1699.00 3.4120E-02 1.7362E-07 0.0000E+00 0.0000E+00                       0.0000E+00            1.7362E-07                     3.378
 1700.00 2.1090E-06 1.7897E-07 0.0000E+00 0.0000E+00                       0.0000E+00            1.7897E-07                    13.069
 1701.00 7.3364E-05 1.7818E-07 0.0000E+00 0.0000E+00                       0.0000E+00            1.7818E-07                     9.520
 1702.00 1.5036E-01 1.5074E-07 0.0000E+00 0.0000E+00                       0.0000E+00            1.5074E-07                     1.895
 1703.00 2.6141E-01 1.3047E-07 0.0000E+00 0.0000E+00                       0.0000E+00            1.3047E-07                     1.342
 1704.00 7.6703E-02 1.6239E-07 0.0000E+00 0.0000E+00                       0.0000E+00            1.6239E-07                     2.568
 1705.00 1.4939E-01 1.4896E-07 0.0000E+00 0.0000E+00                       0.0000E+00            1.4896E-07                     1.901
 1706.00 3.3413E-02 1.6853E-07 0.0000E+00 0.0000E+00                       0.0000E+00            1.6853E-07                     3.399
 1707.00 1.0362E-01 1.5561E-07 0.0000E+00 0.0000E+00                       0.0000E+00            1.5561E-07                     2.267
 1708.00 5.1381E-01 8.4034E-08 0.0000E+00 0.0000E+00                       0.0000E+00            8.4034E-08                     0.666
 1709.00 6.5579E-01 5.9235E-08 0.0000E+00 0.0000E+00                       0.0000E+00            5.9235E-08                     0.422
 1710.00 1.9575E-01 1.3780E-07 0.0000E+00 0.0000E+00                       0.0000E+00            1.3780E-07                     1.631
 1711.00 5.5217E-01 7.6398E-08 0.0000E+00 0.0000E+00                       0.0000E+00            7.6398E-08                     0.594
 1712.00 6.2968E-01 6.2900E-08 0.0000E+00 0.0000E+00                       0.0000E+00            6.2900E-08                     0.463
 1713.00 4.5920E-01 9.1457E-08 0.0000E+00 0.0000E+00                       0.0000E+00            9.1457E-08                     0.778
 1714.00 1.1759E-01 1.4858E-07 0.0000E+00 0.0000E+00                       0.0000E+00            1.4858E-07                     2.141
 1715.00 3.3591E-02 1.6201E-07 0.0000E+00 0.0000E+00                       0.0000E+00            1.6201E-07                     3.394
 1716.00 1.1724E-01 1.4735E-07 0.0000E+00 0.0000E+00                       0.0000E+00            1.4735E-07                     2.144
 1717.00 1.0496E-02 1.6444E-07 0.0000E+00 0.0000E+00                       0.0000E+00            1.6444E-07                     4.557
